ticker,PHO US Equity,CHIM US Equity,KCE US Equity,ICLN US Equity,SPGP US Equity,FIW US Equity,IHF US Equity,PBD US Equity,IAI US Equity,SMH US Equity,XMHQ US Equity,XSD US Equity,QCLN US Equity,PICK US Equity,EWY US Equity,ARKG US Equity,PSI US Equity,MXI US Equity,KORU US Equity,LIT US Equity,ARKK US Equity,UGE US Equity,FAN US Equity,COPX US Equity,ARKQ US Equity,GRID US Equity,RTM US Equity,PBW US Equity,FXZ US Equity,YLCO US Equity
2005-01-03,,,,,,,,,,,,,,,28.85,,,,,,,,,,,,,,,
2005-01-04,,,,,,,,,,,,,,,28.06,,,,,,,,,,,,,,,
2005-01-05,,,,,,,,,,,,,,,28.25,,,,,,,,,,,,,,,
2005-01-06,,,,,,,,,,,,,,,27.78,,,,,,,,,,,,,,,
2005-01-07,,,,,,,,,,,,,,,27.7,,,,,,,,,,,,,,,
2005-01-10,,,,,,,,,,,,,,,27.91,,,,,,,,,,,,,,,
2005-01-11,,,,,,,,,,,,,,,28.44,,,,,,,,,,,,,,,
2005-01-12,,,,,,,,,,,,,,,28.58,,,,,,,,,,,,,,,
2005-01-13,,,,,,,,,,,,,,,28.85,,,,,,,,,,,,,,,
2005-01-14,,,,,,,,,,,,,,,29.85,,,,,,,,,,,,,,,
2005-01-18,,,,,,,,,,,,,,,30.59,,,,,,,,,,,,,,,
2005-01-19,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
2005-01-20,,,,,,,,,,,,,,,29.96,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,,,,,,30.05,,,,,,,,,,,,,,,
2005-01-24,,,,,,,,,,,,,,,30.35,,,,,,,,,,,,,,,
2005-01-25,,,,,,,,,,,,,,,30.29,,,,,,,,,,,,,,,
2005-01-26,,,,,,,,,,,,,,,30.83,,,,,,,,,,,,,,,
2005-01-27,,,,,,,,,,,,,,,30.74,,,,,,,,,,,,,,,
2005-01-28,,,,,,,,,,,,,,,30.4,,,,,,,,,,,,,,,
2005-01-31,,,,,,,,,,,,,,,30.97,,,,,,,,,,,,,,,
2005-02-01,,,,,,,,,,,,,,,30.9,,,,,,,,,,,,,,,
2005-02-02,,,,,,,,,,,,,,,30.72,,,,,,,,,,,,,,,
2005-02-03,,,,,,,,,,,,,,,30.77,,,,,,,,,,,,,,,
2005-02-04,,,,,,,,,,,,,,,31.4,,,,,,,,,,,,,,,
2005-02-07,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,
2005-02-08,,,,,,,,,,,,,,,31.88,,,,,,,,,,,,,,,
2005-02-09,,,,,,,,,,,,,,,31.65,,,,,,,,,,,,,,,
2005-02-10,,,,,,,,,,,,,,,31.22,,,,,,,,,,,,,,,
2005-02-11,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,
2005-02-14,,,,,,,,,,,,,,,32.11,,,,,,,,,,,,,,,
